Accounting Item Id,Actuals General Fund Revenues Id,County District Code,Fund Code,Last Updated,Revenue Code,School Year Code,Amount
1012191,2024-20253320617000,33206,1,12/8/2025 14:09,7000,2024-2025,2377.6
1012190,2024-20253320616998,33206,1,12/8/2025 14:09,6998,2024-2025,6719.11
1012188,2024-20253320616398,33206,1,12/8/2025 14:09,6398,2024-2025,9706.41
1012152,2024-20253320616268,33206,1,12/8/2025 14:09,6268,2024-2025,16707
1012144,2024-20253320616252,33206,1,12/8/2025 14:09,6252,2024-2025,12691.71
1012126,2024-20253320616198,33206,1,12/8/2025 14:09,6198,2024-2025,60141.23
1012113,2024-20253320616152,33206,1,12/8/2025 14:09,6152,2024-2025,19461
1012112,2024-20253320616151,33206,1,12/8/2025 14:09,6151,2024-2025,92818.23
1012108,2024-20253320616124,33206,1,12/8/2025 14:09,6124,2024-2025,33083
1012096,2024-20253320616000,33206,1,12/8/2025 14:09,6000,2024-2025,251327.69
1012093,2024-20253320615500,33206,1,12/8/2025 14:09,5500,2024-2025,914.8
1012091,2024-20253320615329,33206,1,12/8/2025 14:09,5329,2024-2025,11439
1012090,2024-20253320615300,33206,1,12/8/2025 14:09,5300,2024-2025,276327
1012088,2024-20253320615000,33206,1,12/8/2025 14:09,5000,2024-2025,288680.8
1012086,2024-20253320614398,33206,1,12/8/2025 14:09,4398,2024-2025,4105.03
1012077,2024-20253320614199,33206,1,12/8/2025 14:09,4199,2024-2025,259851.25
1012076,2024-20253320614198,33206,1,12/8/2025 14:09,4198,2024-2025,7355.5
1012071,2024-20253320614158,33206,1,12/8/2025 14:09,4158,2024-2025,18703.83
1012069,2024-20253320614155,33206,1,12/8/2025 14:09,4155,2024-2025,91963.08
1012064,2024-20253320614121,33206,1,12/8/2025 14:09,4121,2024-2025,210963.15
1012063,2024-20253320614109,33206,1,12/8/2025 14:09,4109,2024-2025,95918.58
1012062,2024-20253320614100,33206,1,12/8/2025 14:09,4100,2024-2025,1510.92
1012061,2024-20253320614000,33206,1,12/8/2025 14:09,4000,2024-2025,690371.34
1012058,2024-20253320613300,33206,1,12/8/2025 14:09,3300,2024-2025,8130.85
1012057,2024-20253320613121,33206,1,12/8/2025 14:09,3121,2024-2025,22015.91
1012056,2024-20253320613100,33206,1,12/8/2025 14:09,3100,2024-2025,2210606.36
1012055,2024-20253320613000,33206,1,12/8/2025 14:09,3000,2024-2025,2240753.12
1012051,2024-20253320612700,33206,1,12/8/2025 14:09,2700,2024-2025,8520
1012049,2024-20253320612500,33206,1,12/8/2025 14:09,2500,2024-2025,558.91
1012046,2024-20253320612300,33206,1,12/8/2025 14:09,2300,2024-2025,61354.08
1012045,2024-20253320612298,33206,1,12/8/2025 14:09,2298,2024-2025,1133.5
1012040,2024-20253320612200,33206,1,12/8/2025 14:09,2200,2024-2025,764.05
1012031,2024-20253320612000,33206,1,12/8/2025 14:09,2000,2024-2025,72330.54
1012028,2024-20253320611500,33206,1,12/8/2025 14:09,1500,2024-2025,11428.4
1012025,2024-20253320611100,33206,1,12/8/2025 14:09,1100,2024-2025,180920.99
1012024,2024-20253320611000,33206,1,12/8/2025 14:09,1000,2024-2025,192349.39
1012024,2024-20253640011000,36400,1,12/8/2025 14:09,1000,2024-2025,2505073.17
1012025,2024-20253640011100,36400,1,12/8/2025 14:09,1100,2024-2025,2505073.17
1012031,2024-20253640012000,36400,1,12/8/2025 14:09,2000,2024-2025,232475.89
1012040,2024-20253640012200,36400,1,12/8/2025 14:09,2200,2024-2025,9330.4
1012045,2024-20253640012298,36400,1,12/8/2025 14:09,2298,2024-2025,27853.5
1012046,2024-20253640012300,36400,1,12/8/2025 14:09,2300,2024-2025,82382.62
1012049,2024-20253640012500,36400,1,12/8/2025 14:09,2500,2024-2025,24896.45
1012050,2024-20253640012600,36400,1,12/8/2025 14:09,2600,2024-2025,2120.77
1012051,2024-20253640012700,36400,1,12/8/2025 14:09,2700,2024-2025,66100.89
1012053,2024-20253640012900,36400,1,12/8/2025 14:09,2900,2024-2025,19791.26
1012055,2024-20253640013000,36400,1,12/8/2025 14:09,3000,2024-2025,8169850.01
1012056,2024-20253640013100,36400,1,12/8/2025 14:09,3100,2024-2025,7941046.45
1012074,2024-20251940114174,19401,1,12/8/2025 14:09,4174,2024-2025,101495.17
1012075,2024-20251940114188,19401,1,12/8/2025 14:09,4188,2024-2025,156750
1012076,2024-20251940114198,19401,1,12/8/2025 14:09,4198,2024-2025,335981.4
1012077,2024-20251940114199,19401,1,12/8/2025 14:09,4199,2024-2025,2208571.73
1012078,2024-20251940114300,19401,1,12/8/2025 14:09,4300,2024-2025,1177.31
1012083,2024-20251940114358,19401,1,12/8/2025 14:09,4358,2024-2025,64714.5
1012088,2024-20251940115000,19401,1,12/8/2025 14:09,5000,2024-2025,30766.58
1012089,2024-20251940115200,19401,1,12/8/2025 14:09,5200,2024-2025,195.55
1012093,2024-20251940115500,19401,1,12/8/2025 14:09,5500,2024-2025,30571.03
1012096,2024-20251940116000,19401,1,12/8/2025 14:09,6000,2024-2025,3106643.04
1012101,2024-20251940116113,19401,1,12/8/2025 14:09,6113,2024-2025,11605.72
1012108,2024-20251940116124,19401,1,12/8/2025 14:09,6124,2024-2025,721917.02
1012110,2024-20251940116138,19401,1,12/8/2025 14:09,6138,2024-2025,43891
1012112,2024-20251940116151,19401,1,12/8/2025 14:09,6151,2024-2025,748129.13
1012113,2024-20251940116152,19401,1,12/8/2025 14:09,6152,2024-2025,219906.16
1012119,2024-20251940116164,19401,1,12/8/2025 14:09,6164,2024-2025,53884
1012126,2024-20251940116198,19401,1,12/8/2025 14:09,6198,2024-2025,1062523.1
1012157,2024-20251940116298,19401,1,12/8/2025 14:09,6298,2024-2025,48197.44
1012159,2024-20251940116300,19401,1,12/8/2025 14:09,6300,2024-2025,33917.54
1012190,2024-20251940116998,19401,1,12/8/2025 14:09,6998,2024-2025,162671.93
1012191,2024-20251940117000,19401,1,12/8/2025 14:09,7000,2024-2025,68410
1012198,2024-20251940117189,19401,1,12/8/2025 14:09,7189,2024-2025,460
1012202,2024-20251940117301,19401,1,12/8/2025 14:09,7301,2024-2025,67950
