Accounting Item Id,Actuals General Fund Revenues Id,County District Code,Fund Code,Last Updated,Revenue Code,School Year Code,Amount
902537,2023-20241406816109,14068,1,11/19/2024 4:47:42 PM,6109,2023-2024,84166.97
902536,2023-20241406816000,14068,1,11/19/2024 4:47:42 PM,6000,2023-2024,4049745.9
902534,2023-20241406815500,14068,1,11/19/2024 4:47:42 PM,5500,2023-2024,23976.87
902529,2023-20241406815000,14068,1,11/19/2024 4:47:42 PM,5000,2023-2024,23976.87
902526,2023-20241406814388,14068,1,11/19/2024 4:47:42 PM,4388,2023-2024,78510
902524,2023-20241406814358,14068,1,11/19/2024 4:47:42 PM,4358,2023-2024,10606.76
902518,2023-20241406814199,14068,1,11/19/2024 4:47:42 PM,4199,2023-2024,942517.71
902517,2023-20241406814198,14068,1,11/19/2024 4:47:42 PM,4198,2023-2024,187146.26
902515,2023-20241406814174,14068,1,11/19/2024 4:47:42 PM,4174,2023-2024,11526.81
902514,2023-20241406814165,14068,1,11/19/2024 4:47:42 PM,4165,2023-2024,212977.18
902512,2023-20241406814158,14068,1,11/19/2024 4:47:42 PM,4158,2023-2024,120664.09
902510,2023-20241406814155,14068,1,11/19/2024 4:47:42 PM,4155,2023-2024,1187583.44
902505,2023-20241406814121,14068,1,11/19/2024 4:47:42 PM,4121,2023-2024,2784149.58
902504,2023-20241406814109,14068,1,11/19/2024 4:47:42 PM,4109,2023-2024,44351.34
902503,2023-20241406814100,14068,1,11/19/2024 4:47:42 PM,4100,2023-2024,22725
902502,2023-20241406814000,14068,1,11/19/2024 4:47:42 PM,4000,2023-2024,5602758.17
902500,2023-20241406813600,14068,1,11/19/2024 4:47:42 PM,3600,2023-2024,51.2
902499,2023-20241406813300,14068,1,11/19/2024 4:47:42 PM,3300,2023-2024,761617.83
902498,2023-20241406813121,14068,1,11/19/2024 4:47:42 PM,3121,2023-2024,568378.82
902497,2023-20241406813100,14068,1,11/19/2024 4:47:42 PM,3100,2023-2024,15940365.25
902496,2023-20241406813000,14068,1,11/19/2024 4:47:42 PM,3000,2023-2024,17270413.1
902493,2023-20241406812900,14068,1,11/19/2024 4:47:42 PM,2900,2023-2024,3470.29
902491,2023-20241406812700,14068,1,11/19/2024 4:47:42 PM,2700,2023-2024,13756
902489,2023-20241406812500,14068,1,11/19/2024 4:47:42 PM,2500,2023-2024,65602.42
902486,2023-20241406812300,14068,1,11/19/2024 4:47:42 PM,2300,2023-2024,152003.7
902484,2023-20241406812289,14068,1,11/19/2024 4:47:42 PM,2289,2023-2024,53779.01
902481,2023-20241406812231,14068,1,11/19/2024 4:47:42 PM,2231,2023-2024,850
902480,2023-20241406812200,14068,1,11/19/2024 4:47:42 PM,2200,2023-2024,14911.65
902472,2023-20241406812100,14068,1,11/19/2024 4:47:42 PM,2100,2023-2024,18761.62
902471,2023-20241406812000,14068,1,11/19/2024 4:47:42 PM,2000,2023-2024,323134.69
902468,2023-20241406811500,14068,1,11/19/2024 4:47:42 PM,1500,2023-2024,96810.64
902467,2023-20241406811400,14068,1,11/19/2024 4:47:42 PM,1400,2023-2024,1730.07
902466,2023-20241406811300,14068,1,11/19/2024 4:47:42 PM,1300,2023-2024,2220.1
902465,2023-20241406811100,14068,1,11/19/2024 4:47:42 PM,1100,2023-2024,3109913.82
902464,2023-20241406811000,14068,1,11/19/2024 4:47:42 PM,1000,2023-2024,3210674.63
902464,2023-20243830811000,38308,1,11/19/2024 4:47:42 PM,1000,2023-2024,228715.87
902465,2023-20243830811100,38308,1,11/19/2024 4:47:42 PM,1100,2023-2024,228715.87
902471,2023-20243830812000,38308,1,11/19/2024 4:47:42 PM,2000,2023-2024,168111.23
902472,2023-20243830812100,38308,1,11/19/2024 4:47:42 PM,2100,2023-2024,2026.8
902479,2023-20243830812188,38308,1,11/19/2024 4:47:42 PM,2188,2023-2024,1900
902485,2023-20243830812298,38308,1,11/19/2024 4:47:42 PM,2298,2023-2024,4859.2
902486,2023-20243830812300,38308,1,11/19/2024 4:47:42 PM,2300,2023-2024,6739.27
902489,2023-20243830812500,38308,1,11/19/2024 4:47:42 PM,2500,2023-2024,12822
902493,2023-20243830812900,38308,1,11/19/2024 4:47:42 PM,2900,2023-2024,139763.96
902496,2023-20243830813000,38308,1,11/19/2024 4:47:42 PM,3000,2023-2024,2087369.17
902497,2023-20243830813100,38308,1,11/19/2024 4:47:42 PM,3100,2023-2024,2061954.79
902498,2023-20243830813121,38308,1,11/19/2024 4:47:42 PM,3121,2023-2024,25414.38
902502,2023-20243830814000,38308,1,11/19/2024 4:47:42 PM,4000,2023-2024,427826.65
902503,2023-20243830814100,38308,1,11/19/2024 4:47:42 PM,4100,2023-2024,2020
902505,2023-20243830814121,38308,1,11/19/2024 4:47:42 PM,4121,2023-2024,133499.15
902510,2023-20243830814155,38308,1,11/19/2024 4:47:42 PM,4155,2023-2024,48206.55
902512,2023-20243830814158,38308,1,11/19/2024 4:47:42 PM,4158,2023-2024,2000
902515,2023-20243830814174,38308,1,11/19/2024 4:47:42 PM,4174,2023-2024,216.67
902517,2023-20243830814198,38308,1,11/19/2024 4:47:42 PM,4198,2023-2024,12624.58
902518,2023-20243830814199,38308,1,11/19/2024 4:47:42 PM,4199,2023-2024,221405.7
902526,2023-20243830814388,38308,1,11/19/2024 4:47:42 PM,4388,2023-2024,7854
902536,2023-20243830816000,38308,1,11/19/2024 4:47:42 PM,6000,2023-2024,159905.25
902548,2023-20243830816124,38308,1,11/19/2024 4:47:42 PM,6124,2023-2024,19407
902552,2023-20243830816151,38308,1,11/19/2024 4:47:42 PM,6151,2023-2024,50819
902553,2023-20243830816152,38308,1,11/19/2024 4:47:42 PM,6152,2023-2024,4290.71
902566,2023-20243830816198,38308,1,11/19/2024 4:47:42 PM,6198,2023-2024,71938.8
902630,2023-20242120616998,21206,1,11/19/2024 4:47:42 PM,6998,2023-2024,77541.32
902631,2023-20242120617000,21206,1,11/19/2024 4:47:42 PM,7000,2023-2024,99988.81
902633,2023-20242120617121,21206,1,11/19/2024 4:47:42 PM,7121,2023-2024,99988.81
902650,2023-20243920918200,39209,1,11/19/2024 4:47:42 PM,8200,2023-2024,23050.81
902647,2023-20243920918189,39209,1,11/19/2024 4:47:42 PM,8189,2023-2024,7640
902644,2023-20243920918100,39209,1,11/19/2024 4:47:42 PM,8100,2023-2024,318689.27
902643,2023-20243920918000,39209,1,11/19/2024 4:47:42 PM,8000,2023-2024,349380.08
902630,2023-20243920916998,39209,1,11/19/2024 4:47:42 PM,6998,2023-2024,37806.55
902615,2023-20243920916352,39209,1,11/19/2024 4:47:42 PM,6352,2023-2024,19990
902599,2023-20243920916300,39209,1,11/19/2024 4:47:42 PM,6300,2023-2024,133565.74
902592,2023-20243920916268,39209,1,11/19/2024 4:47:42 PM,6268,2023-2024,198306.34
902566,2023-20243920916198,39209,1,11/19/2024 4:47:42 PM,6198,2023-2024,692658.13
902559,2023-20243920916164,39209,1,11/19/2024 4:47:42 PM,6164,2023-2024,70230
902554,2023-20243920916153,39209,1,11/19/2024 4:47:42 PM,6153,2023-2024,193870.5
902553,2023-20243920916152,39209,1,11/19/2024 4:47:42 PM,6152,2023-2024,115353.35
902552,2023-20243920916151,39209,1,11/19/2024 4:47:42 PM,6151,2023-2024,745154.8
902550,2023-20243920916138,39209,1,11/19/2024 4:47:42 PM,6138,2023-2024,26561.78
902548,2023-20243920916124,39209,1,11/19/2024 4:47:42 PM,6124,2023-2024,261963.55
902544,2023-20243920916119,39209,1,11/19/2024 4:47:42 PM,6119,2023-2024,9445
902541,2023-20243920916113,39209,1,11/19/2024 4:47:42 PM,6113,2023-2024,164737.78
902536,2023-20243920916000,39209,1,11/19/2024 4:47:42 PM,6000,2023-2024,2669643.52
902534,2023-20243920915500,39209,1,11/19/2024 4:47:42 PM,5500,2023-2024,10506.41
902532,2023-20243920915329,39209,1,11/19/2024 4:47:42 PM,5329,2023-2024,112562
902531,2023-20243920915300,39209,1,11/19/2024 4:47:42 PM,5300,2023-2024,6214649
902529,2023-20243920915000,39209,1,11/19/2024 4:47:42 PM,5000,2023-2024,6337717.41
902524,2023-20243920914358,39209,1,11/19/2024 4:47:42 PM,4358,2023-2024,36927.99
902518,2023-20243920914199,39209,1,11/19/2024 4:47:42 PM,4199,2023-2024,1010288.29
902517,2023-20243920914198,39209,1,11/19/2024 4:47:42 PM,4198,2023-2024,27899.95
902515,2023-20243920914174,39209,1,11/19/2024 4:47:42 PM,4174,2023-2024,26077.23
902514,2023-20243920914165,39209,1,11/19/2024 4:47:42 PM,4165,2023-2024,205171.27
902512,2023-20243920914158,39209,1,11/19/2024 4:47:42 PM,4158,2023-2024,1351479.83
902510,2023-20243920914155,39209,1,11/19/2024 4:47:42 PM,4155,2023-2024,854938.71
902505,2023-20243920914121,39209,1,11/19/2024 4:47:42 PM,4121,2023-2024,1337324.32
902503,2023-20243920914100,39209,1,11/19/2024 4:47:42 PM,4100,2023-2024,11615
902502,2023-20243920914000,39209,1,11/19/2024 4:47:42 PM,4000,2023-2024,4861722.59
902499,2023-20243920913300,39209,1,11/19/2024 4:47:42 PM,3300,2023-2024,1200713.41
902497,2023-20243920913100,39209,1,11/19/2024 4:47:42 PM,3100,2023-2024,8406831.58
902496,2023-20243920913000,39209,1,11/19/2024 4:47:42 PM,3000,2023-2024,9607544.99
902493,2023-20243920912900,39209,1,11/19/2024 4:47:42 PM,2900,2023-2024,5972.77
902492,2023-20243920912800,39209,1,11/19/2024 4:47:42 PM,2800,2023-2024,29615.84
902490,2023-20243920912600,39209,1,11/19/2024 4:47:42 PM,2600,2023-2024,7445.46
902489,2023-20243920912500,39209,1,11/19/2024 4:47:42 PM,2500,2023-2024,64435.59
902486,2023-20243920912300,39209,1,11/19/2024 4:47:42 PM,2300,2023-2024,182817.31
902485,2023-20243920912298,39209,1,11/19/2024 4:47:42 PM,2298,2023-2024,4150.23
902484,2023-20243920912289,39209,1,11/19/2024 4:47:42 PM,2289,2023-2024,92.42
902480,2023-20243920912200,39209,1,11/19/2024 4:47:42 PM,2200,2023-2024,5306.44
902471,2023-20243920912000,39209,1,11/19/2024 4:47:42 PM,2000,2023-2024,299836.06
902468,2023-20243920911500,39209,1,11/19/2024 4:47:42 PM,1500,2023-2024,165.97
902467,2023-20243920911400,39209,1,11/19/2024 4:47:42 PM,1400,2023-2024,2850.61
902465,2023-20243920911100,39209,1,11/19/2024 4:47:42 PM,1100,2023-2024,341477.09
902464,2023-20243920911000,39209,1,11/19/2024 4:47:42 PM,1000,2023-2024,344493.67
902464,2023-20243750711000,37507,1,11/19/2024 4:47:42 PM,1000,2023-2024,5082572.22
902465,2023-20243750711100,37507,1,11/19/2024 4:47:42 PM,1100,2023-2024,5002241.93
